producer;type;rating_avg
"Vasse Felix";"Australian Wine Companion";98.00
Hickinbotham;"Australian Wine Companion";96.00
Clonakilla;"Australian Wine Companion";96.00
Glaetzer;"Australian Wine Companion";96.00
Torbreck;"Australian Wine Companion";96.00
Henschke;"Australian Wine Companion";94.00
"Chateau Pontet Canet";Bow;9.25
"Quilceda Creek";Bow;9.00
"Jaboulet Aine";Bow;9.00
"Nikolai Garagenwinzer";Bow;9.00
"Tua Rita";Bow;9.00
Realm;Bow;9.00
"Bibi Graetz";Bow;9.00
Marcoux;Bow;9.00
"Le Macchiole";Bow;8.88
"Philip Togni";Bow;8.75
"Daou Vineyards";Bow;8.75
"Chateau Canon";Bow;8.75
"Catena Zapata";Bow;8.75
Camarcanda;Bow;8.75
"Chateau Les Carmes De Haut Brion";Bow;8.75
"Detert Family Vineyards";Bow;8.75
Adversity;Bow;8.75
Almaviva;Bow;8.75
"Au Sommet";Bow;8.75
"Jean Michel Gerin";Bow;8.75
Hourglass;Bow;8.75
Chapoutier;Bow;8.67
Faiveley;Bow;8.67
"Domaine Phillipe Cheron";Bow;8.62
"Amuse Bouche";Bow;8.62
Patria;Bow;8.62
Delas;Bow;8.62
"The Debate";Bow;8.58
"Georges Lignier";Bow;8.56
Dumol;Bow;8.50
"Kosta Browne";Bow;8.50
"Marquis Dangerville";Bow;8.50
"Peter Michael";Bow;8.50
Ceretto;Bow;8.50
"Domaine De Montille";Bow;8.50
"Beaux Freres";Bow;8.50
Gaja;Bow;8.50
"Cesare Bussolo";Bow;8.50
"Domaine Josph Roty";Bow;8.50
Vietti;Bow;8.50
Jadot;Bow;8.50
"Chateau Bellevue Mondotte";Bow;8.50
Confuron;Bow;8.50
"Domaine Tortochot";Bow;8.50
"Podere Le Ripi";Bow;8.50
"Morey Coffinet";Bow;8.50
Corison;Bow;8.50
"Chateau Calon Segur";Bow;8.50
"Domaine Jacques Prieur";Bow;8.50
"Beaulieu Vineyard";Bow;8.50
"Domaine De La Vougeraie";Bow;8.50
Gallica;Bow;8.50
"Laurent Ponsot";Bow;8.38
"Xavier Gerard";Bow;8.25
"Mongeard Mugneret";Bow;8.25
"La Pousse Dor";Bow;8.25
"Chateau Lif";Bow;8.25
"Rene Cacheux";Bow;8.25
"Drouhin, Joseph";Bow;8.25
"Domaine De Courcel";Bow;8.25
"Albert Bichot";Bow;8.25
Continuum;Bow;8.25
"Domaine Forey Pere & Fils";Bow;8.17
"Robert Sirugue";Bow;8.00
Serafin;Bow;8.00
"Mugneret Gibourg";Bow;8.00
"Domaine Michel Noellat";Bow;7.50
"Domaine De Montille";Burghound;94.00
"Albert Bichot";Burghound;93.00
"Domaine Tortochot";Burghound;93.00
"Domaine Forey Pere & Fils";Burghound;93.00
"Domaine Jacques Prieur";Burghound;93.00
"La Pousse Dor";Burghound;92.00
"Mongeard Mugneret";Burghound;92.00
Serafin;Burghound;91.00
"Domaine Josph Roty";Burghound;91.00
